marca,modelo,pvp_euro,cilindro,cc,potencia,rpm,peso,plazas,cons90,cons120,consurb,velocida,acelerac,acel2
10,Montero Co. TDI 2.8,35757.2266666667,4,2835,125,4000,1855,5,9.2,13.2,12.8,155,15,2
10,Montero La. TDI 2.8,28883.9066666667,4,2835,125,4000,2010,5,9.4,13.9,13.5,155,16.8,2
10,Montero La. TDI 2.8,31652.0866666667,4,2835,125,4000,2040,7,9.5,14,13.5,150,17.3,2
10,Montero La. TDI 2.8,39958.1866666667,4,2835,125,4000,2040,5,9.5,14,13.5,155,17.3,2
10,L200 Strada Pick Up,22088.6666666667,4,2477,87,4200,1620,5,9.1,14.1,10.5,135, ,2
10,L200 DC 4x4 Pick Up,19227.3333333333,4,2477,87,4200,1640,5,9.1,14.1,10.5,135, ,2
11,Terrano II 2.4 LX 3p,20893.3333333333,4,2389,124,5200,1620,5,8.5,11.8,13.1,160,13.2,2
11,Terrano II 2.4 SLX 3,24226.6666666667,4,2389,124,5200,1620,5,8.5,11.8,13.1,160,13.2,2
11,Terrano II 2.4. SE 3,27580,4,2389,124,5200,1620,5,8.5,11.8,13.1,169,13.2,2
11,Terrano II 2.4 LX 5p,24920,4,2389,124,5200,1750,7,8.7,12.3,13.3,160,14,2
11,Terrano II 2.4 SLX 5,28020,4,2389,124,5200,1750,7,8.7,12.3,13.3,160,14,2
11,Terrano II 2.4 SE 5p,30580,4,2389,124,5200,1750,7,8.7,12.3,13.3,160,14,2
11,Terrano II 2.7 TD LX,23320,4,2663,100,4000,1750,5,8.4,12.8,11.6,145,19,2
11,Terrano II 2.7 TD SL,25386.6666666667,4,2663,100,4000,1730,5,8.4,12.8,11.6,145,19,2
11,Terrano II 2.7 TD SE,28326.6666666667,4,2663,100,4000,1730,5,8.4,12.8,11.6,145,19,2
11,Terrano II 2.7 TD LX,26700,4,2663,100,4000,1730,7,7.5,12.1,10.6,145,19.9,2
11,Terrano II 2.7 TD SL,28766.6666666667,4,2663,100,4000,1850,7,7.5,12.1,10.6,145,19.9,2
11,Terrano II 2.7 TD SE,31326.6666666667,4,2663,100,4000,1850,7,7.5,12.1,10.6,145,19.9,2
11,Patrol Corto Bajo D,19313.3333333333,6,2826,95,4800,1850,5, , , ,133, ,2
11,Patrol Corto Alto D,24866.6666666667,6,2826,95,4800,1850,7, , , ,133, ,2
11,Patrol Largo Pick Up,22093.3333333333,6,2826,95,4800,1860,2, , , ,135, ,2
11,Patrol Largo Alt.D 2,22833.3333333333,6,2826,95,4800,1985,2, , , ,133, ,2
11,Patrol Largo Alt.D 9,26940,6,2826,95,4800,2020,9, , , ,133, ,2
11,Patrol GR Corto TD 5,30980,6,2826,115,4400,2020,5,8.9,13.5,12.4,150, ,2
11,Patrol GR Largo TD 7,32326.6666666667,6,2826,115,4400,1835,7,9.4,14.2,12.4,145, ,2
12,Frontera Soft Top 2.,21106.6666666667,4,1998,115,5200,1885,5,7.6,10.9,12.7,158,15.6,2
12,Frontera Sport 2.0i,21460,4,1998,115,5200,1639,5,7.6,10.9,12.7,158,15.6,2
12,Frontera 2.2 16V 5p,25553.3333333333,4,2198,136,5200,1696,5,7.6,10.5,12,161,13.6,2
